,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,119.65559,12.797511,176.21243,,61.485645,0.9593,0.9585,0.9589,0.9512,0.9284,0.871,0.8604,0.9036,0.9097,0.9113,0.8994,0.9048,0.2808,0.4867,0.8149,0.8824,0.8602,0.8376,0.6849,0.3906,0.6923,0.8831,0.0804,0.090048
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,-57.47109,4.761566,179.3739,,58.852882,0.4658,0.4648,0.4679,0.468,0.4579,0.4294,0.413,0.4275,0.4305,0.4299,0.4168,0.3955,0.1051,0.1887,0.3376,0.3694,0.3252,0.293,0.211,0.0844,0.1498,0.4339,0.0067,0.007504
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
