,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,113.753,8.542099,168.31528,,57.04034,0.5274,0.5234,0.5146,0.5015,0.4843,0.4446,0.4125,0.4033,0.4029,0.4001,0.3583,0.3155,0.0826,0.1437,0.2611,0.2883,0.2463,0.2229,0.1463,0.0455,0.1438,0.4255,0.0407,0.045584
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,112.91064,22.988564,168.28114,,61.241684,0.9593,0.9608,0.9586,0.9515,0.9279,0.8693,0.8594,0.9079,0.9145,0.9182,0.9112,0.9169,0.2454,0.4314,0.7915,0.8966,0.8764,0.8521,0.7157,0.4343,0.7034,0.8792,0.0668,0.074815996
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,129.27293,12.705268,-172.52448,,65.75275,0.8775,0.8767,0.8783,0.8674,0.8454,0.7818,0.7709,0.8187,0.8266,0.8268,0.8147,0.8243,0.2185,0.4027,0.7273,0.8016,0.7793,0.7559,0.5978,0.314,0.6127,0.72,0.0385,0.04312
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR1,113.402016,9.381579,167.85764,,56.995296,0.5014,0.4959,0.4865,0.4726,0.4574,0.4181,0.397,0.4006,0.4025,0.4014,0.378,0.3624,0.1024,0.1735,0.3055,0.336,0.303,0.2814,0.1989,0.0792,0.2232,0.4245,0.1166,0.130592
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,-48.84334,9.596514,-170.4085,,62.29809,0.9497,0.9544,0.9583,0.9562,0.9345,0.8781,0.8712,0.9168,0.9248,0.9284,0.9195,0.9228,0.2963,0.5326,0.8497,0.9025,0.8816,0.8561,0.716,0.4343,0.7034,0.8868,0.0807,0.09038401
NGRIP,119.47481,13.531146,176.15703,,62.239304,0.9411,0.9411,0.9409,0.9301,0.9081,0.8477,0.8391,0.8834,0.8889,0.8943,0.886,0.8866,0.2807,0.4889,0.8058,0.8692,0.8498,0.8284,0.7012,0.4335,0.6965,0.8676,0.0832,0.093184
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,111.972664,38.578117,168.67033,,67.18303,0.3729,0.3559,0.3217,0.2783,0.2606,0.2308,0.2228,0.2334,0.2354,0.2362,0.2309,0.2413,0.0491,0.096,0.2048,0.2379,0.2368,0.2329,0.1626,0.0613,0.2279,0.4977,0.0485,0.05432
KPC_U,110.91173,39.492775,167.50111,,67.15092,0.7656,0.7649,0.7628,0.7443,0.7229,0.6552,0.6262,0.6508,0.6543,0.6545,0.6236,0.6154,0.1242,0.2462,0.5171,0.5836,0.5393,0.5028,0.3535,0.139,0.3109,0.6814,0.016,0.01792
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,110.343414,25.15034,164.86739,,60.015915,0.5182,0.5164,0.5136,0.5062,0.4954,0.4621,0.4477,0.4636,0.4673,0.4667,0.452,0.437,0.1027,0.1859,0.3633,0.4059,0.3601,0.3253,0.2395,0.1034,0.175,0.4678,0.0087,0.009744001
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,100.99457,39.838554,150.52542,,55.29568,0.4403,0.4278,0.4,0.3644,0.3447,0.3011,0.2785,0.2831,0.2845,0.2846,0.267,0.2616,0.0586,0.1101,0.2167,0.241,0.2064,0.1833,0.117,0.0347,0.0912,0.3689,0.0104,0.011648
TAS_U,101.01261,39.82413,150.58115,,55.34243,0.5168,0.5108,0.4958,0.4771,0.4595,0.4144,0.389,0.3983,0.4008,0.4002,0.3757,0.3613,0.0833,0.1547,0.2991,0.3306,0.2883,0.2575,0.1688,0.0527,0.1297,0.4646,0.0082,0.009184
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
