,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,-64.799355,6.300443,169.23193,,52.95711,0.9899,0.9914,0.9946,0.9909,0.9683,0.911,0.8864,0.9084,0.9131,0.9133,0.8739,0.854,0.2758,0.4566,0.7491,0.8137,0.7563,0.7081,0.5255,0.2276,0.4395,0.9301,0.0158,0.017695999
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,130.928,17.865538,-170.84105,,66.175995,0.4075,0.4018,0.3945,0.3816,0.3719,0.3552,0.3553,0.3733,0.376,0.3749,0.3594,0.3584,0.0836,0.1688,0.3133,0.3422,0.3168,0.2965,0.1955,0.0576,0.2066,0.5422,0.0261,0.029232001
KPC_U,129.88037,18.669397,-171.986,,66.075134,0.7842,0.7926,0.8021,0.807,0.7876,0.7321,0.7059,0.7294,0.7336,0.7319,0.6923,0.6841,0.1688,0.3298,0.5985,0.6461,0.5976,0.5605,0.3795,0.1248,0.3715,0.7297,0.0162,0.018144
SCO_L,-50.909008,20.170519,-172.81,,58.49182,0.4662,0.4691,0.4755,0.4813,0.4739,0.4486,0.4381,0.4578,0.4618,0.4613,0.4425,0.4248,0.104,0.1914,0.3587,0.3948,0.3426,0.3033,0.1994,0.0577,0.1296,0.3917,0.008,0.00896
SCO_U,-51.345085,18.458231,-173.3404,,58.642597,0.4712,0.4706,0.4762,0.4771,0.4689,0.4405,0.4271,0.4442,0.4472,0.4481,0.4295,0.412,0.1069,0.1972,0.3513,0.3818,0.334,0.2986,0.2038,0.0679,0.1452,0.4437,0.0063,0.007056
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,-68.08848,9.513467,163.27603,,48.22103,0.4915,0.4875,0.4776,0.4704,0.4571,0.4325,0.4298,0.4378,0.439,0.4365,0.4091,0.4017,0.1266,0.2191,0.3583,0.3785,0.344,0.3161,0.2066,0.0735,0.1944,0.4531,0.0237,0.026544001
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
