,x,y,OAA,OZA,SAA,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21
2021-08-09,291500.0,-1752500.0,-46.040992736816406,21.581378936767578,-167.3151397705078,58.394535064697266,0.8773000240325928,0.873199999332428,0.859000027179718,0.828000009059906,0.8014000058174133,0.7325999736785889,0.7069000005722046,0.732699990272522,0.7365000247955322,0.7368999719619751,0.725600004196167,0.715399980545044,0.22910000383853912,0.38589999079704285,0.6442000269889832,0.6904000043869019,0.6525999903678894,0.6266999840736389,0.5278000235557556,0.3321000039577484,0.4814000129699707
2021-08-10,-37500.0,-2331500.0,-61.3600959777832,9.522598266601562,173.77398681640625,53.441898345947266,0.9629999995231628,0.9682999849319458,0.9652000069618225,0.9613999724388123,0.9387000203132629,0.8744000196456909,0.8589000105857849,0.8956000208854675,0.9013000130653381,0.9038000106811523,0.8895999789237976,0.8851000070571899,0.2946999967098236,0.5149999856948853,0.8123999834060669,0.8597000241279602,0.8310999870300293,0.803600013256073,0.6567999720573425,0.3707999885082245,0.6499000191688538
2021-08-11,563500.0,-1387500.0,-46.60276412963867,6.250958442687988,-168.2018280029297,61.421871185302734,0.3431999981403351,0.3386000096797943,0.33059999346733093,0.3224000036716461,0.31540000438690186,0.29760000109672546,0.29989999532699585,0.3156000077724457,0.3167000114917755,0.31790000200271606,0.31439998745918274,0.3077000081539154,0.07419999688863754,0.13609999418258667,0.2612000107765198,0.2953000068664551,0.272599995136261,0.25429999828338623,0.20000000298023224,0.10339999943971634,0.155799999833107
2021-08-12,88500.0,-3044500.0,109.96446228027344,2.6201000213623047,160.4623260498047,48.80955123901367,0.7896999716758728,0.7932999730110168,0.800000011920929,0.8011000156402588,0.7885000109672546,0.7426000237464905,0.7214000225067139,0.7402999997138977,0.7444000244140625,0.7412999868392944,0.7146000266075134,0.680899977684021,0.20520000159740448,0.3594000041484833,0.597599983215332,0.6414999961853027,0.5831999778747559,0.5382000207901001,0.4275999963283539,0.22540000081062317,0.3037000000476837
2021-08-13,356500.0,-900500.0,119.637451171875,34.18682098388672,176.9014892578125,66.6043930053711,0.29319998621940613,0.2754000127315521,0.23579999804496765,0.19050000607967377,0.1754000037908554,0.1527000069618225,0.15150000154972076,0.15860000252723694,0.16089999675750732,0.16089999675750732,0.15809999406337738,0.16619999706745148,0.03830000013113022,0.07519999891519547,0.14710000157356262,0.1639000028371811,0.15309999883174896,0.1476999968290329,0.10610000044107437,0.0421999990940094,0.14399999380111694
2021-08-14,-26500.0,-808500.0,114.68417358398438,41.85396194458008,171.93209838867188,68.45708465576172,0.36910000443458557,0.35019999742507935,0.3111000061035156,0.2621999979019165,0.2460000067949295,0.21389999985694885,0.19679999351501465,0.20499999821186066,0.2054000049829483,0.20720000565052032,0.21610000729560852,0.23440000414848328,0.05119999870657921,0.09880000352859497,0.20340000092983246,0.23549999296665192,0.2459000051021576,0.24660000205039978,0.19089999794960022,0.08990000188350677,0.2667999863624573
2021-08-15,549500.0,-1898500.0,-52.77883529663086,17.79385757446289,-175.06192016601562,58.107154846191406,0.2460000067949295,0.23469999432563782,0.20919999480247498,0.1784999966621399,0.16689999401569366,0.1436000019311905,0.1306000053882599,0.12970000505447388,0.1289999932050705,0.12809999287128448,0.12319999933242798,0.12319999933242798,0.048700001090765,0.07209999859333038,0.11230000108480453,0.11980000138282776,0.11270000040531158,0.10920000076293945,0.08969999849796295,0.05979999899864197,0.10700000077486038
2021-08-16,472500.0,-1384500.0,123.09178161621094,12.81552505493164,-179.67262268066406,63.01309585571289,0.8984000086784363,0.9004999995231628,0.8992999792098999,0.891700029373169,0.8694999814033508,0.8119999766349792,0.7980999946594238,0.8378999829292297,0.8443999886512756,0.8452000021934509,0.8295999765396118,0.8338000178337097,0.23510000109672546,0.42239999771118164,0.7412999868392944,0.8133000135421753,0.7875999808311462,0.7642999887466431,0.6018999814987183,0.3059000074863434,0.6212000250816345
2021-08-17,486500.0,-2371500.0,111.41490173339844,11.199363708496094,164.82630920410156,55.322654724121094,0.8928999900817871,0.9031000137329102,0.9200999736785889,0.9333000183105469,0.9178000092506409,0.8669000267982483,0.8411999940872192,0.86080002784729,0.8629999756813049,0.8628000020980835,0.8255000114440918,0.7939000129699707,0.21940000355243683,0.3862999975681305,0.6762999892234802,0.7470999956130981,0.6790000200271606,0.6266999840736389,0.4661000072956085,0.20640000700950623,0.35589998960494995
2021-08-18,514500.0,-1972500.0,107.62881469726562,29.35537338256836,161.28353881835938,59.283695220947266,0.9460999965667725,0.9466999769210815,0.9387999773025513,0.923799991607666,0.8999000191688538,0.8385000228881836,0.8176000118255615,0.8464999794960022,0.8521999716758728,0.8521000146865845,0.8314999938011169,0.8234999775886536,0.23280000686645508,0.4104999899864197,0.7232000231742859,0.7865999937057495,0.7376999855041504,0.6996999979019165,0.5605000257492065,0.31130000948905945,0.4722999930381775
2021-08-19,237500.0,-768500.0,101.2493896484375,50.2894401550293,158.09637451171875,70.50751495361328,0.40720000863075256,0.38909998536109924,0.34940001368522644,0.29750001430511475,0.2770000100135803,0.23999999463558197,0.22190000116825104,0.23149999976158142,0.23280000686645508,0.23330000042915344,0.24220000207424164,0.25940001010894775,0.06610000133514404,0.1264999955892563,0.2361000031232834,0.26179999113082886,0.27730000019073486,0.2809999883174896,0.2087000012397766,0.09359999746084213,0.31299999356269836
2021-08-20,314500.0,-2022500.0,113.55901336669922,14.25517463684082,168.6329345703125,59.3402214050293,0.896399974822998,0.8935999870300293,0.8827999830245972,0.857200026512146,0.835099995136261,0.7784000039100647,0.7595000267028809,0.7889000177383423,0.7924000024795532,0.7936000227928162,0.779699981212616,0.7802000045776367,0.2590000033378601,0.4408000111579895,0.7091000080108643,0.7621999979019165,0.7405999898910522,0.722000002861023,0.5885000228881836,0.33880001306533813,0.6119999885559082
2021-08-21,-21500.0,-1032500.0,120.30741119384766,31.687129974365234,178.0181121826172,68.60073852539062,0.871999979019165,0.8702999949455261,0.8632000088691711,0.8457000255584717,0.8213000297546387,0.7574999928474426,0.7458999752998352,0.7978000044822693,0.8062999844551086,0.8100000023841858,0.8059999942779541,0.8111000061035156,0.18979999423027039,0.36959999799728394,0.7146000266075134,0.7944999933242798,0.7793999910354614,0.7572000026702881,0.6266999840736389,0.3741999864578247,0.6136000156402588
