,time,albedo,bare_ice_area,albedo_gris,bare_ice_area_gris
0,2020-04-01,0.8510831810502786,132,0.8511932010947513,105
1,2020-04-02,0.8460539600109261,1967,0.8469279447854348,1310
2,2020-04-03,0.844045951970111,2443,0.8447806155440187,1612
3,2020-04-04,0.8429527194958962,2928,0.8439179357902382,1653
4,2020-04-05,0.8412763624568885,2566,0.8420501273185589,1527
5,2020-04-06,0.8456300847693438,3216,0.8464480084226076,2015
6,2020-04-07,0.8454257001509348,3749,0.8458495958505926,2880
7,2020-04-08,0.8445558929626136,4292,0.8449695075001726,3422
8,2020-04-09,0.8445240432338543,4341,0.8449669538175145,3455
9,2020-04-10,0.8451232216805727,4861,0.8455632873111719,3879
10,2020-04-11,0.8449349083442335,4152,0.8455405227135617,2770
11,2020-04-12,0.8425301494983197,4294,0.8429263687318514,3343
12,2020-04-13,0.8418708622200839,4443,0.8424436504838667,3392
13,2020-04-14,0.8425206739951971,4703,0.8430844090708879,3679
14,2020-04-15,0.8443094655328856,3982,0.844908078288162,2925
15,2020-04-16,0.8434876007271659,3973,0.8440555415032192,2896
16,2020-04-17,0.8432658109660016,3930,0.843878298376719,2822
17,2020-04-18,0.8431112095039107,4177,0.8437461469766606,3078
18,2020-04-19,0.8429332538120826,4567,0.8436670335195555,3205
19,2020-04-20,0.8425556439399745,4464,0.843459237963841,2998
20,2020-04-21,0.8408915286399233,5462,0.8419234990255627,3794
21,2020-04-22,0.8403678228069607,6114,0.8414741928359907,4279
22,2020-04-23,0.8393662715642849,7447,0.8406729905827465,5069
23,2020-04-24,0.8388378638846605,8731,0.8404395607993326,5676
24,2020-04-25,0.8361839959248711,10545,0.8382663392179104,6825
25,2020-04-26,0.8351700096892107,11626,0.8373555710193648,7390
26,2020-04-27,0.8342966148483731,12083,0.8364874101557015,7640
27,2020-04-28,0.8337845026645615,14051,0.8363504606822498,8438
28,2020-04-30,0.8338263395518575,13053,0.8364615117395292,7329
29,2020-05-01,0.8342945241917112,13105,0.8368147246633325,7444
30,2020-05-02,0.8336216327837778,13147,0.8364030142311425,7465
31,2020-05-03,0.8336398713507239,12914,0.836360269446735,7262
32,2020-05-04,0.8338969364082829,12876,0.8366658958873345,7223
33,2020-05-05,0.8368290152340554,12554,0.8395265437086405,7004
34,2020-05-06,0.8365282258164816,12359,0.8392204538495763,6824
35,2020-05-07,0.8337186188973211,12303,0.836723200649364,6803
36,2020-05-08,0.8308932925795174,12086,0.8340247620409627,6617
37,2020-05-09,0.8306175339341038,12483,0.8335895781298531,6929
38,2020-05-10,0.8305284112816991,12540,0.8336029017375792,6985
39,2020-05-11,0.8269120376271991,13426,0.8300368354063725,7769
40,2020-05-12,0.8260115851206487,14765,0.8290111942718408,8903
41,2020-05-13,0.8260115851206487,14765,0.8290111942718408,8903
42,2020-05-18,0.8260115851206487,14765,0.8290111942718408,8903
43,2020-05-19,0.8111318105323662,17633,0.8148958915392166,11098
44,2020-05-20,0.812996233100364,17638,0.8155025941649092,11124
45,2020-05-21,0.8128182403142334,18609,0.8152826485879741,11815
46,2020-05-22,0.8128708586890112,19133,0.815237282471378,12453
47,2020-05-23,0.8132282621420919,20536,0.8156073056121375,13637
48,2020-05-24,0.8141760458043936,20672,0.8166271078661379,13667
49,2020-05-25,0.8138415579141672,20709,0.8162856517720988,13675
50,2020-05-26,0.814483533439668,20594,0.8169372457098042,13634
51,2020-05-27,0.8152456400469945,20441,0.8178639964244703,13412
52,2020-05-28,0.8182430479056049,20339,0.8209451896141002,13283
53,2020-05-29,0.8206789302375915,20457,0.8234648701582045,13404
54,2020-05-30,0.820875960513539,19510,0.8235885302499589,12547
55,2020-05-31,0.8198189447916818,19176,0.8225802112532332,12247
56,2020-06-01,0.8188303840059611,19187,0.8215013068998024,12241
57,2020-06-02,0.8182214584990635,20036,0.820889340689648,12845
58,2020-06-03,0.8181465175539024,20815,0.8208515324364414,13425
59,2020-06-04,0.8189954069518642,21379,0.821803460684102,14052
60,2020-06-05,0.8214631771987517,21260,0.8243520760620076,13960
61,2020-06-06,0.8213260592294745,21224,0.8242421551043994,13921
62,2020-06-07,0.820830403060989,21251,0.8237830689229599,13944
63,2020-06-08,0.8205782771773161,21186,0.8236239985716921,13911
64,2020-06-09,0.8192993839924191,21287,0.8222212847063253,14086
65,2020-06-10,0.8172070657339437,22851,0.8201311851645691,15374
66,2020-06-11,0.8166978404586414,24163,0.8196595435131779,16558
67,2020-06-12,0.8192655579565978,24429,0.822524487792503,16376
68,2020-06-13,0.818448069351081,25569,0.8218194619878002,17288
69,2020-06-14,0.8203938763253809,26951,0.8239040267470394,18136
70,2020-06-15,0.8203087186466388,27652,0.8238370984970325,18691
71,2020-06-16,0.819100779019124,27862,0.822546284741684,18903
72,2020-06-17,0.8200930723190769,27352,0.8236247638004138,18519
73,2020-06-18,0.8172301410899824,30535,0.8209982006624875,20799
74,2020-06-19,0.8129699410385332,32902,0.8168192123777,22850
75,2020-06-20,0.8115354081733669,36111,0.8155014468122778,25462
76,2020-06-21,0.8062765730295506,39251,0.8105623998235492,28213
77,2020-06-22,0.7996860088727109,43803,0.8040698904684415,31959
78,2020-06-23,0.7976245900448876,43809,0.8021518282466121,31632
79,2020-06-24,0.7968754380064532,46290,0.8014877242236758,33858
80,2020-06-25,0.7973797809257579,47297,0.8020858878812438,34590
81,2020-06-26,0.8000672388764849,49641,0.8049921572420268,36413
82,2020-06-27,0.7990779407442726,54441,0.8040484050821665,41016
83,2020-06-28,0.797402157161166,58432,0.8024267792204003,44566
84,2020-06-29,0.7949021824660768,65205,0.8003098563067548,49409
85,2020-06-30,0.7915555658632456,72829,0.7974071221447517,54575
86,2020-07-01,0.784127233433115,81777,0.7899124564741948,62692
87,2020-07-02,0.784127233433115,81777,0.7899124564741948,62692
88,2020-07-03,0.7814550643418917,82386,0.7871824989525431,62878
89,2020-07-04,0.7809707767874702,79564,0.7867361060726573,59660
90,2020-07-05,0.7830832305454776,84013,0.7889106095134327,64529
91,2020-07-06,0.7834398009239019,85419,0.7892569131142064,65908
92,2020-07-07,0.7814781645119833,91164,0.7873390318347182,71027
93,2020-07-08,0.7800309928517749,96031,0.7859258726197396,75404
94,2020-07-09,0.7784145415107383,98842,0.7842480927564848,78187
95,2020-07-10,0.7774038325043627,99810,0.7832854652801016,78752
96,2020-07-11,0.780041937466057,99124,0.7860620068808315,77925
97,2020-07-12,0.7813258213943535,102385,0.7874117188135037,81093
98,2020-07-13,0.7834138842248981,102205,0.7895976722971186,80724
99,2020-07-14,0.787888043607888,101301,0.7942320156095573,79940
100,2020-07-15,0.7901752150388388,97820,0.7970635887365117,73836
101,2020-07-16,0.7898590982815419,99747,0.7968372833215719,75441
102,2020-07-17,0.786229802950752,109866,0.7931828148519078,85083
103,2020-07-18,0.783626499243263,115110,0.7905206414539743,89755
104,2020-07-19,0.7788940137044587,120773,0.7857536071937,95162
105,2020-07-20,0.7743381036641883,129508,0.781064512935035,103645
106,2020-07-21,0.7727442516428623,132909,0.7793649257287208,107021
107,2020-07-22,0.7693512165535632,144745,0.7759818602265898,118389
108,2020-07-23,0.7668043917852836,152768,0.7735447590155646,125182
109,2020-07-24,0.7673685082154674,150771,0.7744933091043341,121245
110,2020-07-25,0.7696609568486974,150349,0.776841527218965,120890
111,2020-07-26,0.7722808685491439,149085,0.7794099659519844,120053
112,2020-07-27,0.772356574677396,148515,0.7795067559217285,119529
113,2020-07-28,0.772839804529973,147603,0.7799424807934346,118771
114,2020-07-29,0.7780230453832885,127975,0.7853353311061128,98969
115,2020-07-30,0.7785979334628156,126315,0.7859451965727052,97348
116,2020-07-31,0.7791409968369183,127160,0.7867924750950431,96821
117,2020-08-01,0.7802348171297243,119899,0.7879406996659988,89573
118,2020-08-02,0.7837450959157822,115646,0.7915400276727077,85472
119,2020-08-03,0.784200149867948,115222,0.7920070294341834,85054
120,2020-08-04,0.7860517868516029,115164,0.7939174851292844,84983
121,2020-08-05,0.7895545142963332,115757,0.7976525774684234,85160
122,2020-08-06,0.7900240253813996,116863,0.7984190493113379,85115
123,2020-08-07,0.7901571026381428,117388,0.7986875487740274,85107
124,2020-08-08,0.7914843121037641,115755,0.8000492752827407,83562
125,2020-08-09,0.7929813265474156,115884,0.8016535905213058,83278
126,2020-08-10,0.7954567101088525,116073,0.8042304269540721,83333
127,2020-08-11,0.8022674682489334,106799,0.8112344325240998,74232
128,2020-08-12,0.8017958451277135,105495,0.8107390566976753,72887
129,2020-08-13,0.8040978767038311,100788,0.8129876483437339,68497
130,2020-08-14,0.8061695167667371,100276,0.8151883744091443,67852
131,2020-08-15,0.8090534446791146,96441,0.8179788309087597,64739
132,2020-08-16,0.8093678255469475,92842,0.8181036738436616,61837
133,2020-08-17,0.8068317694527546,99867,0.8154558283215345,68869
134,2020-08-18,0.8004684018419768,97918,0.8087755930267309,67562
135,2020-08-19,0.7981490835639994,95286,0.8062700753454576,65692
136,2020-08-20,0.7965093305471315,94413,0.8045529667550674,65103
137,2020-08-21,0.796089116497798,93644,0.8041158760845815,64574
138,2020-08-22,0.7913408395443174,110222,0.7994493521967446,79848
139,2020-08-23,0.7897035141789112,114574,0.7979559608538517,83143
140,2020-08-24,0.7887991867547433,117112,0.7971097940806811,85304
141,2020-08-25,0.7902177374106105,115170,0.7984713397913498,83863
142,2020-08-26,0.7901549894982123,114112,0.79850058411128,82120
143,2020-08-27,0.7901722647069886,112776,0.7981005952281407,81878
144,2020-08-28,0.7912043513342557,114593,0.7991461154728169,83669
145,2020-08-29,0.7942156114754003,117395,0.8023888434542633,86355
146,2020-08-30,0.7988143129789249,131106,0.8073593266408513,99917
147,2020-08-31,0.8015644066632245,122675,0.8102483818376,91350
148,2020-09-01,0.8016852222777392,122006,0.8103622989115924,90756
149,2020-09-02,0.8054507746524339,119713,0.8141361196267556,88975
150,2020-09-03,0.8124042974498118,103683,0.8212668958067663,73625
151,2020-09-04,0.813868728437259,101486,0.8226974452500707,71764
152,2020-09-05,0.8143745438465745,100750,0.8232041377675925,71071
153,2020-09-06,0.8153053001659741,100617,0.8241637544377197,70950
154,2020-09-07,0.81810525762179,99860,0.8270259241259988,70199
155,2020-09-08,0.8170735208694376,97769,0.8259504856722292,68159
156,2020-09-09,0.8202013401640058,93580,0.8291781598521986,64019
157,2020-09-10,0.8212994379464416,94382,0.830299104920472,64840
158,2020-09-11,0.8235354778160506,92213,0.8325884812400188,62747
159,2020-09-12,0.8234875471886569,89197,0.8325396126217272,59794
160,2020-09-13,0.8240791201288152,87238,0.8331505896551776,57851
161,2020-09-14,0.8240250937724551,86061,0.8330814140680133,56761
162,2020-09-15,0.8243843061861762,85608,0.8334114177765993,56526
163,2020-09-16,0.8245010896078174,85209,0.8335324715178339,56112
164,2020-09-17,0.8273373796923509,83709,0.8364075230369669,54774
165,2020-09-18,0.828513481471548,82544,0.837619610346411,53631
166,2020-09-19,0.8293589843721374,82435,0.8384884711334489,53522
167,2020-09-20,0.8303292966031195,81618,0.8394897033670098,52718
168,2020-09-21,0.8309382794632741,81152,0.8401209919956791,52251
169,2020-09-22,0.8323928802164214,79317,0.8416278356721393,50421
170,2020-09-23,0.8327711415899156,78290,0.841996542880057,49440
171,2020-09-24,0.832421754716706,77461,0.8416039621837453,48678
172,2020-09-25,0.8324351931051084,77387,0.8416079263310887,48639
173,2020-09-26,0.8324735724267712,77606,0.8416483391124456,48857
174,2020-09-27,0.8333006006753525,77382,0.8425019221535963,48645
175,2020-09-28,0.8342541472740814,77195,0.8434905127083252,48465
176,2020-09-29,0.8347030357225358,77024,0.8439527007590698,48315
177,2020-09-30,0.8345021969780487,76686,0.8437037909530483,48023
178,2020-10-01,0.7946158916575047,85216,0.8000946913233927,66320
179,2020-10-02,0.7868235614099229,82418,0.7912839404276022,67136
180,2020-10-03,0.7851083743943525,93833,0.7895399510698343,78537
181,2020-10-04,0.7936094343487115,76424,0.7983986274901926,61046
182,2020-10-05,0.7930266403384896,76485,0.7977929205617261,61106
183,2020-10-06,0.7933613426686071,76005,0.7981445775173996,60598
184,2020-10-07,0.7919150605599926,75995,0.7966271342227892,60601
185,2020-10-08,0.7921363934414742,75078,0.7969239354250639,59460
186,2020-10-09,0.7921385773967248,74794,0.7970748426926079,58630
187,2020-10-10,0.7876666386960909,95099,0.7925729310170441,78199
188,2020-10-11,0.7845540220246063,104116,0.7895360163858234,86184
189,2020-10-12,0.7822248184851315,107774,0.7871994789794187,89519
190,2020-10-13,0.7801050350780421,113927,0.7850103898155957,95587
191,2020-10-14,0.7816386280469542,107638,0.7866931646787089,88770
192,2020-10-15,0.7754640119672165,113080,0.7804115307428257,93433
193,2020-10-16,0.7712545655867576,120510,0.7762767412087158,99679
194,2020-10-17,0.767755211574285,133038,0.7727944417339301,111462
