,time,albedo,bare_ice_area,albedo_gris,bare_ice_area_gris
0,2018-04-01,0.8389140942724627,3794,0.8395691434799545,3609
1,2018-04-02,0.8470367399044969,2533,0.8475940567301246,2344
2,2018-04-03,0.848504815748403,2191,0.8489926815642288,1992
3,2018-04-04,0.8494857347404196,1649,0.8499590741584253,1423
4,2018-04-05,0.8499544711309097,1496,0.8504208001198627,1251
5,2018-04-06,0.8517811145832938,1378,0.8522103938191135,1138
6,2018-04-07,0.8514235277923623,1511,0.8516129317266851,1236
7,2018-04-08,0.8505152141950355,1714,0.8505721457892992,1427
8,2018-04-09,0.850565235030184,2229,0.8505993792075038,1854
9,2018-04-10,0.8512775413696003,1972,0.8512989225846863,1625
10,2018-04-11,0.8498511761627316,2178,0.8498759166049046,1792
11,2018-04-12,0.8500470733305007,1958,0.8501001560331607,1576
12,2018-04-13,0.8500933048974605,1914,0.8501761764492457,1541
13,2018-04-14,0.8501413967331851,1876,0.8502856067791316,1505
14,2018-04-15,0.8500794850265326,1854,0.8502247746522525,1485
15,2018-04-16,0.8494290390524897,1804,0.8495537580747484,1415
16,2018-04-17,0.8490519733903352,2104,0.8491990244279445,1606
17,2018-04-18,0.8487840176215554,1963,0.8489413658470433,1474
18,2018-04-19,0.8480301738482122,1893,0.8481847315633712,1407
19,2018-04-20,0.8471614763376396,2880,0.8473168072892382,2278
20,2018-04-21,0.8468673282493512,2778,0.8469504259182946,2125
21,2018-04-22,0.8484927284089046,2936,0.8486880859728797,2148
22,2018-04-23,0.8474786663771762,2902,0.8477266790194691,1982
23,2018-04-24,0.8468746990792194,2973,0.8471516950129664,2024
24,2018-04-25,0.8467032725881254,2995,0.8470535305054832,1992
25,2018-04-26,0.8484367432420722,3234,0.8489323880728077,2082
26,2018-04-27,0.8472431025726367,3357,0.8477512766867934,2124
27,2018-04-28,0.8463486596553842,3382,0.8468813939739488,2149
28,2018-04-29,0.8461072750619422,3580,0.8467082160571332,2301
29,2018-04-30,0.8459206588861039,3484,0.8466015812399829,2203
30,2018-05-01,0.8421731901229841,3493,0.8427802260987909,2216
31,2018-05-02,0.8416055827908941,3435,0.8422304276208109,2162
32,2018-05-03,0.8409608777158378,3409,0.8415745211222452,2123
33,2018-05-04,0.8414892670845932,3489,0.8421057020684471,2158
34,2018-05-05,0.8435287625408355,3462,0.844178135793453,2133
35,2018-05-06,0.8432643866526183,3449,0.8439774476289449,2121
36,2018-05-07,0.8446509864843368,3388,0.8453254344493223,2061
37,2018-05-08,0.8431056361321835,3369,0.8437096094964659,2043
38,2018-05-09,0.8404714295379607,3330,0.8410018595243551,2005
39,2018-05-10,0.8392474709733981,3278,0.8397253777038695,1960
40,2018-05-11,0.8378866897255429,3239,0.8383149308037853,1927
41,2018-05-12,0.8369571045583659,3218,0.8374247534576752,1921
42,2018-05-13,0.8366629665015692,3245,0.8371497678840599,1949
