site,time,year,month,day,hour,doy,          T,rain,alb,height
SWC,2021-08-10 01:00:00,2021,08,10,01,222,-1.12,0.0,0.502,0.003
SWC,2021-08-10 02:00:00,2021,08,10,02,222,-1.78,0.0,0.504,0.000
SWC,2021-08-10 03:00:00,2021,08,10,03,222,-2.42,0.0,0.511,0.001
SWC,2021-08-10 04:00:00,2021,08,10,04,222,-2.50,0.0,0.519,0.003
SWC,2021-08-10 05:00:00,2021,08,10,05,222,-2.42,0.0,0.531,0.002
SWC,2021-08-10 06:00:00,2021,08,10,06,222,-2.33,0.0,0.546,-0.003
SWC,2021-08-10 07:00:00,2021,08,10,07,222,-2.82,0.0,0.556,-0.002
SWC,2021-08-10 08:00:00,2021,08,10,08,222,-2.62,0.0,0.560,-0.003
SWC,2021-08-10 09:00:00,2021,08,10,09,222,-2.70,0.0,0.561,-0.007
SWC,2021-08-10 10:00:00,2021,08,10,10,222,-1.98,0.0,0.557,-0.006
SWC,2021-08-10 11:00:00,2021,08,10,11,222,-1.87,0.0,0.555,-0.006
SWC,2021-08-10 12:00:00,2021,08,10,12,222,-1.07,0.0,0.553,-0.007
SWC,2021-08-10 13:00:00,2021,08,10,13,222,-0.72,0.0,0.552,-0.007
SWC,2021-08-10 14:00:00,2021,08,10,14,222,0.10,0.0,0.552,-0.005
SWC,2021-08-10 15:00:00,2021,08,10,15,222,0.75,0.0,0.553,-0.008
SWC,2021-08-10 16:00:00,2021,08,10,16,222,1.27,0.0,0.553,-0.007
SWC,2021-08-10 17:00:00,2021,08,10,17,222,2.00,0.0,0.553,-0.012
SWC,2021-08-10 18:00:00,2021,08,10,18,222,2.55,0.0,0.553,-0.011
SWC,2021-08-10 19:00:00,2021,08,10,19,222,2.40,0.0,0.553,-0.008
SWC,2021-08-10 20:00:00,2021,08,10,20,222,2.45,0.0,0.553,0.004
SWC,2021-08-10 21:00:00,2021,08,10,21,222,2.18,0.0,0.553,-0.024
SWC,2021-08-10 22:00:00,2021,08,10,22,222,2.10,0.0,0.553,-0.025
SWC,2021-08-10 23:00:00,2021,08,10,23,222,2.33,0.0,0.554,-0.025
SWC,2021-08-11 00:00:00,2021,08,11,00,223,2.42,0.0,0.554,-0.028
SWC,2021-08-11 01:00:00,2021,08,11,01,223,1.85,0.0,0.555,-0.033
SWC,2021-08-11 02:00:00,2021,08,11,02,223,1.65,0.0,0.556,-0.031
SWC,2021-08-11 03:00:00,2021,08,11,03,223,1.58,0.0,0.557,-0.032
SWC,2021-08-11 04:00:00,2021,08,11,04,223,1.32,0.0,0.556,-0.034
SWC,2021-08-11 05:00:00,2021,08,11,05,223,1.05,0.0,0.554,-0.033
SWC,2021-08-11 06:00:00,2021,08,11,06,223,1.12,0.0,0.549,-0.030
SWC,2021-08-11 07:00:00,2021,08,11,07,223,0.72,0.0,0.543,-0.020
SWC,2021-08-11 08:00:00,2021,08,11,08,223,0.90,0.0,0.541,-0.020
SWC,2021-08-11 09:00:00,2021,08,11,09,223,0.67,0.0,0.536,-0.021
SWC,2021-08-11 10:00:00,2021,08,11,10,223,0.63,0.2,0.534,-0.017
SWC,2021-08-11 11:00:00,2021,08,11,11,223,0.62,0.2,0.532,-0.021
SWC,2021-08-11 12:00:00,2021,08,11,12,223,0.47,0.2,0.531,-0.021
SWC,2021-08-11 13:00:00,2021,08,11,13,223,0.17,0.2,0.531,-0.018
SWC,2021-08-11 14:00:00,2021,08,11,14,223,0.10,0.5,0.531,-0.019
SWC,2021-08-11 15:00:00,2021,08,11,15,223,0.25,0.5,0.531,-0.016
SWC,2021-08-11 16:00:00,2021,08,11,16,223,0.28,0.9,0.531,-0.027
SWC,2021-08-11 17:00:00,2021,08,11,17,223,0.17,1.1,0.531,-0.041
SWC,2021-08-11 18:00:00,2021,08,11,18,223,0.17,1.4,0.532,-0.038
SWC,2021-08-11 19:00:00,2021,08,11,19,223,0.22,1.4,0.532,-0.011
SWC,2021-08-11 20:00:00,2021,08,11,20,223,0.18,1.4,0.531,-0.014
SWC,2021-08-11 21:00:00,2021,08,11,21,223,0.13,1.4,0.531,-0.039
SWC,2021-08-11 22:00:00,2021,08,11,22,223,0.28,1.4,0.531,-0.037
SWC,2021-08-11 23:00:00,2021,08,11,23,223,0.37,1.4,0.531,-0.016
SWC,2021-08-12 00:00:00,2021,08,12,00,224,0.30,1.4,0.530,-0.020
SWC,2021-08-12 01:00:00,2021,08,12,01,224,0.07,1.4,0.530,-0.047
SWC,2021-08-12 02:00:00,2021,08,12,02,224,-0.02,1.4,0.531,-0.034
SWC,2021-08-12 03:00:00,2021,08,12,03,224,-0.08,1.4,0.533,-0.033
SWC,2021-08-12 04:00:00,2021,08,12,04,224,-0.08,1.4,0.536,-0.032
SWC,2021-08-12 05:00:00,2021,08,12,05,224,0.05,1.4,0.538,-0.030
SWC,2021-08-12 06:00:00,2021,08,12,06,224,0.12,1.4,0.542,-0.025
SWC,2021-08-12 07:00:00,2021,08,12,07,224,0.17,1.4,0.544,-0.023
SWC,2021-08-12 08:00:00,2021,08,12,08,224,0.27,1.4,0.545,-0.027
SWC,2021-08-12 09:00:00,2021,08,12,09,224,0.22,1.4,0.547,-0.030
SWC,2021-08-12 10:00:00,2021,08,12,10,224,0.12,1.6,0.550,-0.035
SWC,2021-08-12 11:00:00,2021,08,12,11,224,0.30,1.6,0.555,-0.032
SWC,2021-08-12 12:00:00,2021,08,12,12,224,0.37,1.6,0.559,-0.031
SWC,2021-08-12 13:00:00,2021,08,12,13,224,0.48,1.6,0.560,-0.025
SWC,2021-08-12 14:00:00,2021,08,12,14,224,0.73,1.8,0.561,-0.035
SWC,2021-08-12 15:00:00,2021,08,12,15,224,0.93,1.8,0.561,-0.038
SWC,2021-08-12 16:00:00,2021,08,12,16,224,1.37,1.8,0.561,-0.041
SWC,2021-08-12 17:00:00,2021,08,12,17,224,1.63,1.8,0.561,-0.013
SWC,2021-08-12 18:00:00,2021,08,12,18,224,1.90,1.8,0.561,-0.040
SWC,2021-08-12 19:00:00,2021,08,12,19,224,1.77,1.8,0.561,-0.034
SWC,2021-08-12 20:00:00,2021,08,12,20,224,1.85,1.8,0.562,-0.032
SWC,2021-08-12 21:00:00,2021,08,12,21,224,1.85,1.8,0.562,-0.023
SWC,2021-08-12 22:00:00,2021,08,12,22,224,2.02,1.8,0.562,-0.030
SWC,2021-08-12 23:00:00,2021,08,12,23,224,1.82,1.8,0.563,-0.034
SWC,2021-08-13 00:00:00,2021,08,13,00,225,1.92,1.8,0.564,-0.041
SWC,2021-08-13 01:00:00,2021,08,13,01,225,2.03,1.8,0.566,-0.043
SWC,2021-08-13 02:00:00,2021,08,13,02,225,1.95,1.8,0.570,-0.042
SWC,2021-08-13 03:00:00,2021,08,13,03,225,1.98,1.8,0.575,-0.039
SWC,2021-08-13 04:00:00,2021,08,13,04,225,2.10,1.8,0.580,-0.040
SWC,2021-08-13 05:00:00,2021,08,13,05,225,2.28,1.8,0.587,-0.026
SWC,2021-08-13 06:00:00,2021,08,13,06,225,2.33,1.8,0.594,-0.033
SWC,2021-08-13 07:00:00,2021,08,13,07,225,2.22,1.8,0.602,-0.051
SWC,2021-08-13 08:00:00,2021,08,13,08,225,2.23,1.8,0.605,-0.036
SWC,2021-08-13 09:00:00,2021,08,13,09,225,2.55,1.8,0.603,-0.048
SWC,2021-08-13 10:00:00,2021,08,13,10,225,2.62,1.8,0.599,-0.046
SWC,2021-08-13 11:00:00,2021,08,13,11,225,2.78,1.8,0.598,-0.038
SWC,2021-08-13 12:00:00,2021,08,13,12,225,2.90,1.8,0.598,-0.038
SWC,2021-08-13 13:00:00,2021,08,13,13,225,3.20,1.8,0.597,-0.041
SWC,2021-08-13 14:00:00,2021,08,13,14,225,3.07,1.8,0.598,-0.054
SWC,2021-08-13 15:00:00,2021,08,13,15,225,2.55,1.8,0.598,-0.053
SWC,2021-08-13 16:00:00,2021,08,13,16,225,2.92,1.8,0.598,-0.061
SWC,2021-08-13 17:00:00,2021,08,13,17,225,2.82,1.8,0.598,-0.056
SWC,2021-08-13 18:00:00,2021,08,13,18,225,2.62,1.8,0.598,-0.056
SWC,2021-08-13 19:00:00,2021,08,13,19,225,2.28,1.8,0.598,-0.054
SWC,2021-08-13 20:00:00,2021,08,13,20,225,2.15,2.1,0.598,-0.058
SWC,2021-08-13 21:00:00,2021,08,13,21,225,2.17,2.1,0.598,-0.063
SWC,2021-08-13 22:00:00,2021,08,13,22,225,2.20,2.1,0.598,-0.062
SWC,2021-08-13 23:00:00,2021,08,13,23,225,2.42,2.1,0.598,-0.078
SWC,2021-08-14 00:00:00,2021,08,14,00,226,2.32,2.3,0.598,-0.077
SWC,2021-08-14 01:00:00,2021,08,14,01,226,2.38,2.5,0.595,-0.080
SWC,2021-08-14 02:00:00,2021,08,14,02,226,2.45,2.5,0.594,-0.072
SWC,2021-08-14 03:00:00,2021,08,14,03,226,2.28,2.5,0.591,-0.075
SWC,2021-08-14 04:00:00,2021,08,14,04,226,2.38,3.0,0.586,-0.080
SWC,2021-08-14 05:00:00,2021,08,14,05,226,2.50,3.4,0.577,-0.081
SWC,2021-08-14 06:00:00,2021,08,14,06,226,2.67,4.5,0.572,-0.107
SWC,2021-08-14 07:00:00,2021,08,14,07,226,2.57,5.0,0.572,-0.104
SWC,2021-08-14 08:00:00,2021,08,14,08,226,2.90,5.6,0.575,-0.098
SWC,2021-08-14 09:00:00,2021,08,14,09,226,2.63,6.1,0.576,-0.127
SWC,2021-08-14 10:00:00,2021,08,14,10,226,2.78,6.3,0.578,-0.110
SWC,2021-08-14 11:00:00,2021,08,14,11,226,2.45,6.6,0.579,-0.102
SWC,2021-08-14 12:00:00,2021,08,14,12,226,2.33,7.3,0.582,-0.108
SWC,2021-08-14 13:00:00,2021,08,14,13,226,2.22,7.5,0.583,-0.104
SWC,2021-08-14 14:00:00,2021,08,14,14,226,2.05,7.7,0.583,-0.104
SWC,2021-08-14 15:00:00,2021,08,14,15,226,2.02,8.0,0.582,-0.110
SWC,2021-08-14 16:00:00,2021,08,14,16,226,2.15,8.2,0.583,-0.106
SWC,2021-08-14 17:00:00,2021,08,14,17,226,2.00,8.4,0.583,-0.108
SWC,2021-08-14 18:00:00,2021,08,14,18,226,1.78,8.4,0.583,-0.112
SWC,2021-08-14 19:00:00,2021,08,14,19,226,1.62,8.4,0.583,-0.112
SWC,2021-08-14 20:00:00,2021,08,14,20,226,1.73,8.4,0.583,-0.112
SWC,2021-08-14 21:00:00,2021,08,14,21,226,1.78,8.6,0.582,-0.126
SWC,2021-08-14 22:00:00,2021,08,14,22,226,2.08,8.6,0.582,-0.119
SWC,2021-08-14 23:00:00,2021,08,14,23,226,2.20,8.9,0.583,-0.119
SWC,2021-08-15 00:00:00,2021,08,15,00,227,2.10,9.6,0.583,-0.142
SWC,2021-08-15 01:00:00,2021,08,15,01,227,2.18,9.6,0.584,-0.160
SWC,2021-08-15 02:00:00,2021,08,15,02,227,2.13,9.6,0.585,-0.163
SWC,2021-08-15 03:00:00,2021,08,15,03,227,2.15,9.6,0.587,-0.143
SWC,2021-08-15 04:00:00,2021,08,15,04,227,1.78,9.6,0.589,-0.128
SWC,2021-08-15 05:00:00,2021,08,15,05,227,1.70,9.6,0.590,-0.156
SWC,2021-08-15 06:00:00,2021,08,15,06,227,1.57,9.6,0.589,-0.122
SWC,2021-08-15 07:00:00,2021,08,15,07,227,1.65,9.6,0.590,-0.140
SWC,2021-08-15 08:00:00,2021,08,15,08,227,1.40,10.0,0.591,-0.147
SWC,2021-08-15 09:00:00,2021,08,15,09,227,1.42,10.5,0.593,-0.157
SWC,2021-08-15 10:00:00,2021,08,15,10,227,1.15,10.7,0.594,-0.148
