,time,albedo,bare_ice_area,albedo_gris,bare_ice_area_gris
0,2018-04-07,0.85770416,284,0.85763097,224
1,2018-04-08,0.8563288,593,0.85619295,497
2,2018-04-09,0.8551191,812,0.8549587,654
3,2018-04-10,0.8547918,812,0.85462636,654
4,2018-04-11,0.85433716,896,0.8541682,690
5,2018-04-12,0.85401857,896,0.8538413,690
6,2018-04-13,0.853559,894,0.8533785,688
7,2018-04-14,0.85311925,893,0.8529333,687
8,2018-04-15,0.8529985,888,0.8528162,683
9,2018-04-16,0.85229766,914,0.8520948,689
10,2018-04-17,0.8517078,1090,0.8515248,783
11,2018-04-18,0.8512529,1085,0.85106033,778
12,2018-04-19,0.85099065,1077,0.85080284,770
13,2018-04-20,0.84999645,1414,0.84980875,998
14,2018-04-21,0.84964,1587,0.8494561,1124
15,2018-04-22,0.849839,1830,0.8497236,1241
16,2018-04-23,0.84938455,2033,0.8493151,1328
17,2018-04-24,0.8488769,2122,0.8488231,1389
18,2018-04-25,0.84841067,2201,0.8483941,1429
19,2018-04-26,0.84798294,2354,0.84802586,1460
20,2018-04-27,0.84707826,2517,0.84714776,1548
21,2018-04-28,0.8467734,2535,0.8468696,1559
22,2018-04-29,0.8460549,2679,0.8461592,1658
23,2018-04-30,0.8459303,2635,0.84606045,1609
24,2018-05-01,0.8450673,2662,0.8451801,1635
25,2018-05-02,0.8447155,2672,0.8448338,1638
26,2018-05-03,0.8438287,2665,0.8439397,1616
27,2018-05-04,0.8436706,2681,0.84379286,1621
28,2018-05-05,0.8433412,2663,0.84344983,1605
29,2018-05-06,0.84303194,2668,0.8431448,1615
30,2018-05-07,0.8424653,2677,0.84256643,1626
31,2018-05-08,0.8420775,2650,0.84214073,1599
32,2018-05-09,0.84172577,2631,0.84177715,1577
33,2018-05-10,0.8410358,2613,0.8410688,1565
34,2018-05-11,0.8408334,2590,0.84084135,1543
35,2018-05-12,0.84045154,2579,0.8404741,1541
36,2018-05-13,0.8399932,2552,0.8400165,1512
37,2018-05-14,0.8390248,2612,0.83902895,1559
38,2018-05-15,0.838303,2668,0.8382815,1616
39,2018-05-16,0.83744556,2752,0.8374474,1669
40,2018-05-17,0.8367645,2849,0.8367749,1755
41,2018-05-18,0.8360868,3017,0.83620185,1847
42,2018-05-19,0.83581483,3028,0.83591586,1854
43,2018-05-20,0.8361054,3027,0.8362489,1851
44,2018-05-21,0.83561593,3071,0.8357808,1882
45,2018-05-22,0.8345782,3126,0.8347321,1907
46,2018-05-23,0.83423096,3190,0.8344261,1948
47,2018-05-24,0.83327925,3191,0.8334487,1948
48,2018-05-25,0.8329455,3187,0.83314246,1943
49,2018-05-26,0.83306175,3163,0.8333066,1915
50,2018-05-27,0.8327601,3217,0.8331387,1927
51,2018-05-28,0.83318317,3159,0.8337057,1892
52,2018-05-29,0.83357716,3170,0.8341832,1901
53,2018-05-30,0.8336089,3184,0.8342483,1906
54,2018-05-31,0.83288896,3415,0.8336931,1967
55,2018-06-01,0.8313064,4176,0.83257943,2240
56,2018-06-02,0.8311407,4292,0.83250576,2281
57,2018-06-03,0.83079296,4467,0.8322574,2358
58,2018-06-04,0.8312888,4445,0.83278334,2339
59,2018-06-05,0.83002883,4925,0.83155984,2704
60,2018-06-06,0.8259496,6721,0.82803845,3889
61,2018-06-07,0.8250302,7036,0.8271487,4015
62,2018-06-08,0.8228957,7759,0.82498217,4595
63,2018-06-09,0.82097167,7980,0.82305557,4718
64,2018-06-10,0.81955165,8635,0.82161236,5329
65,2018-06-11,0.81800646,9126,0.8200674,5717
66,2018-06-12,0.8177587,9393,0.8198311,5801
67,2018-06-13,0.81727827,9659,0.81936127,5954
68,2018-06-14,0.8167116,10210,0.8187984,6421
69,2018-06-15,0.816107,10714,0.8182,6852
70,2018-06-16,0.8157234,10903,0.81779695,7001
71,2018-06-17,0.8157713,11292,0.81786394,7361
72,2018-06-18,0.8159247,11949,0.81805277,7927
73,2018-06-19,0.81659436,13275,0.8188802,8941
74,2018-06-20,0.81632465,14592,0.81898254,9491
75,2018-06-21,0.81619453,14958,0.8188709,9694
76,2018-06-22,0.8156068,15072,0.818298,9802
77,2018-06-23,0.81510156,15886,0.8178243,10453
78,2018-06-24,0.81471807,16139,0.81743246,10682
79,2018-06-25,0.81407,16192,0.81678563,10750
80,2018-06-26,0.8165008,16724,0.8193109,11266
81,2018-06-27,0.81661683,18361,0.8194483,12706
82,2018-06-28,0.815283,19592,0.81809455,13716
83,2018-06-29,0.81446326,20125,0.8176083,14035
84,2018-06-30,0.8138816,20664,0.81730014,14379
85,2018-07-01,0.8134106,21376,0.81687284,14848
86,2018-07-02,0.8131515,21802,0.81669176,15073
87,2018-07-03,0.8121398,24376,0.81569505,17568
88,2018-07-04,0.8118763,24621,0.81547475,17722
89,2018-07-05,0.81176203,26221,0.8154896,18793
90,2018-07-06,0.8114809,26748,0.81527144,19117
91,2018-07-07,0.8112575,27591,0.81512976,19613
92,2018-07-08,0.8112848,28530,0.8152349,20261
93,2018-07-09,0.81005734,29941,0.8140601,21368
94,2018-07-10,0.8076369,32872,0.8117195,23918
95,2018-07-11,0.80638814,33706,0.81048536,24503
96,2018-07-12,0.80550283,35159,0.80963445,25641
97,2018-07-13,0.8030783,44118,0.8072271,34219
98,2018-07-14,0.802162,45666,0.80637157,35431
99,2018-07-15,0.8017692,47413,0.80596924,37079
100,2018-07-16,0.801157,48957,0.80536485,38462
101,2018-07-17,0.8001735,50803,0.8043603,40129
102,2018-07-18,0.7990563,53978,0.8032405,43120
103,2018-07-19,0.7960688,65596,0.80029446,53865
104,2018-07-20,0.7958703,66743,0.8000696,54759
105,2018-07-21,0.79505026,67248,0.7992629,54950
106,2018-07-22,0.795202,68727,0.7994267,56257
107,2018-07-23,0.79520845,68332,0.79943216,55807
108,2018-07-24,0.79502696,68552,0.79924154,55927
109,2018-07-25,0.79646164,62549,0.8007339,49897
110,2018-07-26,0.7962107,63641,0.80050725,50917
111,2018-07-27,0.7961146,64239,0.8004068,51394
112,2018-07-28,0.7959855,65174,0.800395,51836
113,2018-07-29,0.79719436,61487,0.80155075,48421
114,2018-07-30,0.79753,54542,0.80192924,41493
115,2018-07-31,0.7944839,58946,0.7988733,45551
116,2018-08-01,0.79382855,58923,0.79826665,45539
117,2018-08-02,0.79390216,58903,0.7983526,45519
118,2018-08-03,0.7943451,62182,0.7988745,48432
119,2018-08-04,0.7923316,67192,0.79702824,52709
120,2018-08-05,0.7919339,67180,0.7966574,52698
121,2018-08-06,0.79063565,73494,0.7957249,57427
122,2018-08-07,0.78957134,76683,0.7949118,59541
123,2018-08-08,0.78931034,78604,0.79476905,61057
124,2018-08-09,0.7881318,78543,0.7935459,61013
125,2018-08-10,0.7872993,78479,0.7926566,60983
126,2018-08-11,0.78621715,78417,0.79154915,60938
127,2018-08-12,0.7832954,90776,0.788799,72451
128,2018-08-13,0.7825335,97576,0.78821826,78202
129,2018-08-14,0.7835279,97551,0.78924644,78185
130,2018-08-15,0.78413177,98130,0.7898958,78631
