,time,albedo,bare_ice_area,albedo_gris,bare_ice_area_gris
0,2017-04-07,0.856518,0,0.856355,0
1,2017-04-08,0.8558607,175,0.8556876,123
2,2017-04-09,0.85538256,467,0.8552173,345
3,2017-04-10,0.8550463,661,0.854905,425
4,2017-04-11,0.85474104,823,0.8546079,534
5,2017-04-12,0.85443777,898,0.8543,602
6,2017-04-13,0.85390365,898,0.85375786,602
7,2017-04-14,0.8538776,898,0.85375386,602
8,2017-04-15,0.8537177,984,0.8535934,675
9,2017-04-16,0.8534134,1025,0.8532906,700
10,2017-04-17,0.853156,1076,0.8530404,719
11,2017-04-18,0.8530846,1068,0.85297,711
12,2017-04-19,0.852943,1134,0.8528353,760
13,2017-04-20,0.85273397,1147,0.8526368,754
14,2017-04-21,0.8523361,1232,0.8522371,811
15,2017-04-22,0.85214496,1360,0.85204095,907
16,2017-04-23,0.85212964,1439,0.8520359,958
17,2017-04-24,0.8520525,1448,0.8519668,961
18,2017-04-25,0.85140914,1473,0.8512922,967
19,2017-04-26,0.8507047,1541,0.8505742,1015
20,2017-04-27,0.8499965,1550,0.84985316,1020
21,2017-04-28,0.8493103,1565,0.8491432,1024
22,2017-04-29,0.8473715,1620,0.8471738,1034
23,2017-04-30,0.8460661,1716,0.84583205,1120
24,2017-05-01,0.8442746,1884,0.8440257,1236
25,2017-05-02,0.84334534,1942,0.8431214,1282
26,2017-05-03,0.84259665,2085,0.84241223,1389
27,2017-05-04,0.8417336,2471,0.84179157,1571
28,2017-05-05,0.838649,3456,0.83934826,1937
29,2017-05-06,0.8321168,4732,0.8330556,2682
30,2017-05-07,0.8289925,5589,0.83016413,3099
31,2017-05-08,0.8280499,5917,0.8293143,3306
32,2017-05-09,0.8287521,5949,0.8300479,3328
33,2017-05-10,0.82699513,6264,0.8284392,3459
34,2017-05-11,0.8266201,6334,0.8280833,3526
35,2017-05-12,0.8262841,6390,0.82775515,3567
36,2017-05-13,0.82602286,6382,0.827499,3560
37,2017-05-14,0.82590103,6422,0.8273845,3589
38,2017-05-15,0.8253076,6491,0.82679194,3631
39,2017-05-16,0.82556266,6535,0.8270685,3659
40,2017-05-17,0.8253701,6646,0.82687026,3718
41,2017-05-18,0.82480484,6793,0.82629395,3846
42,2017-05-19,0.82435966,6987,0.82585275,3932
43,2017-05-20,0.8238262,7370,0.8253601,4107
44,2017-05-21,0.8234625,7642,0.8250967,4227
45,2017-05-22,0.8229766,8214,0.8246195,4668
46,2017-05-23,0.8226015,8300,0.82432806,4743
47,2017-05-24,0.8217671,8454,0.82349175,4842
48,2017-05-25,0.8209369,8636,0.8226913,4963
49,2017-05-26,0.8209298,8773,0.822733,5032
50,2017-05-27,0.82094043,9045,0.82273567,5253
51,2017-05-28,0.8203858,9110,0.8221635,5314
52,2017-05-29,0.8199736,9116,0.82176983,5316
53,2017-05-30,0.81964993,9229,0.8214456,5405
54,2017-05-31,0.8186987,9606,0.82063144,5705
55,2017-06-01,0.81835026,10086,0.8204173,6042
56,2017-06-02,0.8178422,10582,0.8199625,6382
57,2017-06-03,0.817475,10807,0.8197243,6536
58,2017-06-04,0.81678337,10923,0.8190702,6576
59,2017-06-05,0.8165511,11103,0.8188629,6712
60,2017-06-06,0.8152043,11499,0.8175401,7018
61,2017-06-08,0.81372136,12135,0.8161522,7510
62,2017-06-09,0.8126759,12366,0.815201,7635
63,2017-06-10,0.81067216,13342,0.81340027,8118
64,2017-06-11,0.809814,13970,0.8125767,8544
65,2017-06-12,0.80828106,15410,0.8110948,9748
66,2017-06-13,0.80679953,19348,0.8098941,12764
67,2017-06-14,0.8058679,20954,0.80907655,13911
68,2017-06-15,0.8055977,21319,0.80884707,14117
69,2017-06-16,0.8042989,21568,0.8075217,14306
70,2017-06-17,0.8033144,21783,0.8065008,14481
71,2017-06-18,0.80292094,22287,0.8060716,14884
72,2017-06-19,0.80168974,22702,0.8048313,15222
73,2017-06-20,0.8009645,23343,0.80414397,15688
74,2017-06-21,0.8010608,23971,0.80427814,16208
75,2017-06-22,0.80044705,25142,0.8037343,17175
76,2017-06-23,0.799702,26793,0.8030785,18412
77,2017-06-24,0.7982518,30085,0.8018262,20891
